budget,component,loss_value,raw_gradient_norm,exceeds_raw_threshold,applied_norm_after_clipping,write_controller_gradient_norm,utility_controller_gradient_norm,core_gradient_norm
16,task_loss,5.209359169006348,14.615634705664693,False,0.25,1.7453589986751452,0.12988369609672515,14.614232549417991
16,write_rate_penalty,0.027650827541947365,0.13882746401803855,False,0.13882746401803855,0.10100503010668088,0.0004307547535915578,0.13882372672371954
16,write_binarization_penalty,0.002494450658559799,0.00020558439839649353,False,0.00020558439839649353,0.0001489841864196459,4.2495996436293545e-07,0.0002055764439087571
16,budget_violation_penalty,0.0,0.0,False,0.0,0.0,0.0,0.0
16,total_training_loss,5.492639541625977,8.992093785524457,False,0.25,0.7886982546708631,0.14385726163340626,8.991165168572701
32,task_loss,5.24109411239624,20.54345184530185,False,0.25,0.26475798650281807,0.08055639360259075,20.541715136551566
32,write_rate_penalty,0.024273548275232315,0.14339814927568598,False,0.14339814927568598,0.09844034098313666,0.00033391584259113294,0.1433936429708462
32,write_binarization_penalty,0.0024948464706540108,0.00019169080132114405,False,0.00019169080132114405,0.00013520119932922567,1.2577089877507932e-07,0.00019168203609789617
32,budget_violation_penalty,0.0,0.0,False,0.0,0.0,0.0,0.0
32,total_training_loss,5.337382793426514,10.410613161292309,False,0.25,0.19004900040868036,0.12483442751260103,10.40931218854976
